title,synopsis
Inception,"Un voleur spécialisé dans l'extraction de rêves se voit confier un dernier job..."
Interstellar,"Une équipe d'explorateurs voyage à travers un trou de ver à la recherche d'une nouvelle maison pour l'humanité."
Le Seigneur des Anneaux : La Communauté de l'Anneau,"Un jeune Hobbit hérite d'un anneau puissant et part pour un voyage périlleux afin de le détruire."
Matrix,"Un programmeur découvre que la réalité n'est qu'une simulation créée par des machines intelligentes."
Forrest Gump,"L'histoire d'un homme simple d'esprit qui traverse les événements majeurs de l'histoire américaine."
Pulp Fiction,"Plusieurs histoires interconnectées de criminels, de boxeurs et de braqueurs à Los Angeles."
Fight Club,"Un homme insomniaque et désabusé forme un club de combat secret avec un vendeur de savon charismatique."
Le Parrain,"L'histoire épique de la famille Corleone, une puissante mafia new-yorkaise."
Les Évadés,"Un homme innocent est condamné pour meurtre et purge sa peine dans une prison impitoyable."
Star Wars : Épisode IV - Un nouvel espoir,"Un jeune fermier se lance dans une aventure galactique pour sauver une princesse et vaincre l'Empire."
Titanic,"L'histoire d'amour tragique de deux personnes de classes sociales différentes à bord du Titanic."
Avatar,"Dans un futur lointain, un soldat paraplégique est envoyé sur une lune lointaine habitée par une civilisation extraterrestre."
Gladiator,"Un général romain trahi se bat pour venger sa famille et son empereur."
Le Roi Lion,"Un jeune lionceau doit surmonter la mort de son père et reprendre sa place légitime sur le trône."
Jurassic Park,"Un parc à thème peuplé de dinosaures génétiquement modifiés tourne au cauchemar."
Le Silence des Agneaux,"Une jeune agente du FBI traque un tueur en série avec l'aide d'un psychiatre cannibale emprisonné."
Seven,"Deux détectives traquent un tueur en série qui base ses crimes sur les sept péchés capitaux."
Django Unchained,"Un esclave affranchi aide un chasseur de primes allemand à retrouver des criminels."
Inglourious Basterds,"Un groupe de soldats juifs américains et une jeune femme traquent des nazis pendant la Seconde Guerre mondiale."
La Ligne Verte,"Un gardien de prison rencontre un prisonnier doté de pouvoirs surnaturels."
Le Fabuleux Destin d'Amélie Poulain,"Une jeune femme rêveuse et discrète décide d'améliorer la vie de ceux qui l'entourent."
Retour vers le futur,"Un adolescent voyage dans le temps avec un scientifique excentrique."
Blade Runner,"Un ""chasseur de primes"" est chargé de traquer des androïdes rebelles à Los Angeles en 2019."
Alien,"L'équipage d'un vaisseau spatial rencontre une forme de vie extraterrestre mortelle."
Terminator 2 : Le Jugement dernier,"Un cyborg est envoyé du futur pour protéger un adolescent destiné à diriger la résistance humaine."
Le Cinquième Élément,"Dans un futur dystopique, un chauffeur de taxi est entraîné dans une mission pour sauver l'humanité."
V pour Vendetta,"Dans une Angleterre totalitaire, une anarchiste masquée défie le régime."
Les Indestructibles,"Une famille de super-héros tente de mener une vie normale tout en sauvant le monde."
Toy Story,"Des jouets prennent vie lorsque les humains ne sont pas là."
Monstres & Cie,"Deux monstres travaillent dans une entreprise qui génère de l'énergie à partir des cris d'enfants."
Le Voyage de Chihiro,"Une jeune fille découvre un monde parallèle rempli d'esprits et de créatures fantastiques."
Princesse Mononoké,"Une jeune princesse élevée par des loups se bat pour protéger la forêt de l'exploitation humaine."
